Wed Sep 16 22:31:38 +0000 2009 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 UK 
Tue Mar 29 11:37:18 +0000 2011 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Setubal, Portugal 
Tue Mar 31 05:33:14 +0000 2009 	 Hoppmann discussing on building a team for US education, don't forget about some retired staff who may still want to teach.  #AIUM14 	 East Coast USA 
Mon Jan 04 10:09:37 +0000 2010 	 Don't torment yourself by attending a name brnd college. Education us education wherever. 	 east atlanta z6ne 
Sun Dec 16 19:41:13 +0000 2012 	 RT @bcotmedia: 'My dream is to come back with Chinese students to start degree courses with us' - Education - TES News http://t.co/VioaJGeQ 	  
Thu Aug 30 02:20:02 +0000 2012 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	  
Tue May 03 12:48:40 +0000 2011 	 'My dream is to come back with Chinese students to start degree courses with us' - Education - TES News http://t.co/VioaJGeQVa @AnthonyBravo 	 Hampshire 
Mon Feb 06 20:15:49 +0000 2012 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Scotland 
Wed Dec 17 17:58:50 +0000 2008 	 @FazilZuhaib I cant accurately answer that, since Ive only been in US education my whole life. 	 Cleveland, OH 
Tue Dec 14 17:05:04 +0000 2010 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 England 
Tue Apr 07 19:44:20 +0000 2009 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Ypsilanti, Michigan 
Thu May 12 22:09:43 +0000 2011 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Ohio 
Tue Aug 07 17:52:35 +0000 2012 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Jersey, Channel Island, UK 
Tue Oct 23 19:04:11 +0000 2012 	 We're pleased to welcome @WVSOM to #AACOM2014, along w/ other great schools joining us! #education http://t.co/oTZ7HcKDuZ 	 Chevy Chase, MD 
Sun Sep 09 14:48:12 +0000 2012 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Hampshire or Kent, UK  
Fri May 20 01:14:10 +0000 2011 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Kelowna, BC 
Mon Jun 22 18:08:29 +0000 2009 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Cleveland Heights, OH  
Thu Jan 07 16:11:27 +0000 2010 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Manchester, England 
Sat Mar 06 17:56:42 +0000 2010 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Diemen 
Sun Jan 08 01:02:05 +0000 2012 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 England 
Fri Sep 13 21:30:22 +0000 2013 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	  
Sat Aug 01 19:28:05 +0000 2009 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Netherlands 
Wed Dec 12 16:47:40 +0000 2012 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 UK 
Tue Feb 03 22:06:20 +0000 2009 	 RT @ws: People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Ontario,Canada 
Wed Dec 17 17:58:50 +0000 2008 	 People not from the US, what questions do you have about US education? Anything big or small. Working on a post. 	 Cleveland, OH 
Sat Aug 28 01:21:37 +0000 2010 	 Bridge gap of US education between UME and GME with advanced competancy training. @CreaghB #AIUM14 http://t.co/8lP6MB2Udg 	 Columbus, OH 
Sat Aug 28 01:21:37 +0000 2010 	 Advanced competencies in US education- dev a focused US curriculum for MSIV- speciality based, mentored, and individual. @CreaghB #AIUM14 	 Columbus, OH 
Fri May 24 17:03:21 +0000 2013 	 RT @landarchitects: Need a part-time summer job? Work for us: Education Programs Admin, late April to early August. Perfect for students. h 	  
Fri Sep 24 18:52:24 +0000 2010 	 US Education Secretary and Attorney General discuss the importance of universal access to preschool and the need... http://t.co/KbvXvdyDop 	 San Francisco, CA 
Fri Sep 24 18:52:24 +0000 2010 	 US Education Secretary and Attorney General discuss the importance of universal access to preschool and the need to reduce "unnecessary... 	 San Francisco, CA 
Sat Jun 07 03:06:00 +0000 2008 	 This Is Your #Brain On #TFA | #Public #School Shakedown http://t.co/u0WpCubKke #TeachForAmerica #US #education Join the conversation! 	 Intergalactic Citizen 
Tue Sep 15 02:00:10 +0000 2009 	 WOW! Two Anoka-Hennepin teachers are among 10 finalists for the 2014 Minnesota Teacher of the Year award. Read more: http://t.co/OT9vT2Ny8g 	 Anoka and NE Hennepin counties 
Sat Jun 30 04:04:40 +0000 2012 	 RT @aliaemily: US #education secretary @arneduncan learns about #aquaponics at #waipahu high school @usedgov @HIDOE808 #RTTT http://t.co/Oj 	 Las Vegas 
